bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
630681,978385,text,258289,application/pdf,Introduced,https://legiscan.com/US/text/HB4110/id/978385,https://www.congress.gov/113/bills/hr4110/BILLS-113hr4110ih.pdf
630707,978716,text,257908,application/pdf,Introduced,https://legiscan.com/US/text/HB4111/id/978716,https://www.congress.gov/113/bills/hr4111/BILLS-113hr4111ih.pdf
630696,978478,text,257782,application/pdf,Introduced,https://legiscan.com/US/text/HB4112/id/978478,https://www.congress.gov/113/bills/hr4112/BILLS-113hr4112ih.pdf
630726,978727,text,249600,application/pdf,Introduced,https://legiscan.com/US/text/HB4113/id/978727,https://www.congress.gov/113/bills/hr4113/BILLS-113hr4113ih.pdf
630690,978386,text,253190,application/pdf,Introduced,https://legiscan.com/US/text/HB4114/id/978386,https://www.congress.gov/113/bills/hr4114/BILLS-113hr4114ih.pdf
630680,978749,text,248368,application/pdf,Introduced,https://legiscan.com/US/text/HB4115/id/978749,https://www.congress.gov/113/bills/hr4115/BILLS-113hr4115ih.pdf
630678,978382,text,247745,application/pdf,Introduced,https://legiscan.com/US/text/HB4116/id/978382,https://www.congress.gov/113/bills/hr4116/BILLS-113hr4116ih.pdf
630695,978809,text,253731,application/pdf,Introduced,https://legiscan.com/US/text/HB4117/id/978809,https://www.congress.gov/113/bills/hr4117/BILLS-113hr4117ih.pdf
632207,976743,text,249837,application/pdf,Introduced,https://legiscan.com/US/text/HB4118/id/976743,https://www.congress.gov/113/bills/hr4118/BILLS-113hr4118ih.pdf
632207,985589,text,214080,application/pdf,Introduced,https://legiscan.com/US/text/HB4118/id/985589,https://www.congress.gov/113/bills/hr4118/BILLS-113hr4118pcs.pdf
632207,980991,text,117373,application/pdf,Engrossed,https://legiscan.com/US/text/HB4118/id/980991,https://www.congress.gov/113/bills/hr4118/BILLS-113hr4118eh.pdf
632191,978353,text,249565,application/pdf,Introduced,https://legiscan.com/US/text/HB4119/id/978353,https://www.congress.gov/113/bills/hr4119/BILLS-113hr4119ih.pdf
632191,1045358,text,256851,application/pdf,Introduced,https://legiscan.com/US/text/HB4119/id/1045358,https://www.congress.gov/113/bills/hr4119/BILLS-113hr4119rh.pdf
632191,1045448,text,117150,application/pdf,Engrossed,https://legiscan.com/US/text/HB4119/id/1045448,https://www.congress.gov/113/bills/hr4119/BILLS-113hr4119eh.pdf
632192,978359,text,247553,application/pdf,Introduced,https://legiscan.com/US/text/HB4120/id/978359,https://www.congress.gov/113/bills/hr4120/BILLS-113hr4120ih.pdf
632192,1015948,text,231026,application/pdf,Introduced,https://legiscan.com/US/text/HB4120/id/1015948,https://www.congress.gov/113/bills/hr4120/BILLS-113hr4120rh.pdf
632192,1016722,text,113952,application/pdf,Engrossed,https://legiscan.com/US/text/HB4120/id/1016722,https://www.congress.gov/113/bills/hr4120/BILLS-113hr4120eh.pdf
632192,1019515,text,118347,application/pdf,Enrolled,https://legiscan.com/US/text/HB4120/id/1019515,https://www.congress.gov/113/bills/hr4120/BILLS-113hr4120enr.pdf
632206,979895,text,253747,application/pdf,Introduced,https://legiscan.com/US/text/HB4121/id/979895,https://www.congress.gov/113/bills/hr4121/BILLS-113hr4121ih.pdf
632206,1027242,text,260787,application/pdf,Introduced,https://legiscan.com/US/text/HB4121/id/1027242,https://www.congress.gov/113/bills/hr4121/BILLS-113hr4121rh.pdf
